View Statements Option in Quick Actions RHS is Not Displayed------------>  Closed FD - RHS Sections

View Statements Option in Quick Actions RHS is Not Displayed------------>  Closed FD - RHS Sections - View Statements

View Documents is not Redirected to Fixed Deposit Number : 500953------------>  Closed FD - RHS Sections - View Statements

FIXED DEPOSIT 229405 No. Tile is Not Present in this customer Id------------>  To verify Relationship Details Section - FD Details with Renewed\

 Account Number 229405 is Not Redirected------------>  To verify Relationship Details Section - FD Details with Renewed\

Not Redirected to Expected------------>  To verify Relationship Details Section - FD Details with Renewed\

MyRelations Section is Not Verified------------>  To verify Relationship Details Section - FD Details with TDS Waiver Submittedq

My Relation is not Working------------>  To verify Relationship Details Section - FD Details with TDS Waiver Submittedq

View Statements Option in Quick Actions RHS is Not Displayed------------>  Active FD - RHS SectionsĒ

MyRelations Section is Not Verified------------>  Active FD - Has Pre-Approved OffersĢ

My Relation is not Working------------>  Active FD - Has Pre-Approved OffersĢ

MyRelations Section is Not Verified------------>  Add Nominee - To verify Cancel Button

My Relation is not Working------------>  Add Nominee - To verify Cancel Button

MyRelations Section is Not Verified------------>  Add Nominee - To verify RHS(

My Relation is not Working------------>  Add Nominee - To verify RHS(

MyRelations Section is Not Verified------------>  Add Nominee - To verify Nominee Details ComponentsV

My Relation is not Working------------>  Add Nominee - To verify Nominee Details ComponentsV

MyRelations Section is Not Verified------------>  Add Nominee - To verify Nominee Full Name Text Boxi

My Relation is not Working------------>  Add Nominee - To verify Nominee Full Name Text Boxi

MyRelations Section is Not Verified------------>  Add Nominee - To verify Nominee Date Of Birth|

My Relation is not Working------------>  Add Nominee - To verify Nominee Date Of Birth|

MyRelations Section is Not Verified------------>  Add Nominee - Nominee Address 'City & State' Fields are Non-Editable and Auto populated¦

My Relation is not Working------------>  Add Nominee - Nominee Address 'City & State' Fields are Non-Editable and Auto populated¦

MyRelations Section is Not Verified------------>  Add Nominee - Guardian Details ComponentsÍ

My Relation is not Working------------>  Add Nominee - Guardian Details ComponentsÍ

MyRelations Section is Not Verified------------>  Add Nominee - To verify Guardian Name Text Boxã

My Relation is not Working------------>  Add Nominee - To verify Guardian Name Text Boxã

MyRelations Section is Not Verified------------>  Add Nominee - To verify Error Message for Same Name in Nominee Full Name & Guardian Name Text Boxý

My Relation is not Working------------>  Add Nominee - To verify Error Message for Same Name in Nominee Full Name & Guardian Name Text Boxý

MyRelations Section is Not Verified------------>  Add Nominee - To verify Guardian Date Of BirthĔ

My Relation is not Working------------>  Add Nominee - To verify Guardian Date Of BirthĔ

MyRelations Section is Not Verified------------>  Add Nominee - Guardian Address 'City & State' Fields are Non-Editable and Auto populatedĭ

My Relation is not Working------------>  Add Nominee - Guardian Address 'City & State' Fields are Non-Editable and Auto populatedĭ

MyRelations Section is Not Verified------------>  Add Nominee - To verify 'Nominee & Guardian' Address Fields validation messageŌ

My Relation is not Working------------>  Add Nominee - To verify 'Nominee & Guardian' Address Fields validation messageŌ

MyRelations Section is Not Verified------------>  Add Nominee - To validate Nominee PINCODE Fieldť

My Relation is not Working------------>  Add Nominee - To validate Nominee PINCODE Fieldť

MyRelations Section is Not Verified------------>  Add Nominee - To validate Guardian PINCODE FieldŽ

My Relation is not Working------------>  Add Nominee - To validate Guardian PINCODE FieldŽ

MyRelations Section is Not Verified------------>  Verify Add Nominee Page OTP Screen ComponentsƤ

