Failed in get max Value of Settlement Payment. Exception: class java.lang.ArrayIndexOutOfBoundsException------------>  To verify maximum amount is prepopulated in Enter amount field2

Maximum Value is Autopopulated in Input Box. Populated Value = 40000------------>  To verify maximum amount is prepopulated in Enter amount field2

Settlement Payment Radio Button is Not Displayed------------>  To verify Proceed CTA is disabled when invalid or no amount is displayed.D

PROCEED button is Not Displayed------------>  To verify Proceed CTA is disabled when invalid or no amount is displayed.D

Settlement Payment Radio Button option has not redirected to Settlement Payment tab------------>  To verify Proceed CTA is disabled when invalid or no amount is displayed.D

Redirected URL is not Matched : https://uat-oneweb.bajajfinserv.in/MyAccountPayments/LoanPay/ActiveLoanPay?id=96c7c144-6fb6-4f30-9bd1-641d461da11e------------>  To verify Proceed CTA is disabled when invalid or no amount is displayed.D

Expected URL : MyAccountPayments/LoanPay/SettlementPay------------>  To verify Proceed CTA is disabled when invalid or no amount is displayed.D

Settlement Payment Amount Input Box is Not Displayed------------>  To verify Proceed CTA is disabled when invalid or no amount is displayed.D

Part Pre Payment range Text is Not Displayed------------>  To verify Proceed CTA is disabled when invalid or no amount is displayed.D

Failed in scroll To WebElement for <Settlement Status Label. Exception: class org.openqa.selenium.NoSuchElementException------------>  To verify details displayed on Settlement details pageT

<Settlement Status is not displayed------------>  To verify details displayed on Settlement details pageT

Total Outstanding Amount Value is not displayed------------>  To verify details displayed on Settlement details pageT

Total Settlement Amount Value is not displayed------------>  To verify details displayed on Settlement details pageT

Failed in scroll To WebElement for Settlement Amount Received Till Now> Label. Exception: class org.openqa.selenium.NoSuchElementException------------>  To verify details displayed on Settlement details pageT

Settlement Amount Received Till Now> is not displayed------------>  To verify details displayed on Settlement details pageT

<Date is Not Displayed.------------>  To verify Scheduled details section displayed on Settlement details pagee

Amount> is Not Displayed.------------>  To verify Scheduled details section displayed on Settlement details pagee

Home Page Text is Not Verified------------>  To verify contact details sectionz

Login is Unsuccessfull------------>  To verify contact details sectionz

Sign Out Button is Not Present------------>  To verify contact details sectionz

Redirected Header is not Matched------------>  To verify after clicking on FAQs under Quick Actions we are redirected to FAQ details page

You can pay an EMI in advance, part-prepay or foreclose your loan. is Not Present------------>  To verify after clicking on FAQs under Quick Actions we are redirected to FAQ details page

LAN: 410PMTEW457223 is Not Present------------>  To verify after clicking on FAQs under Quick Actions we are redirected to FAQ details page

Settlement Payment Radio Button is Not Displayed------------>  To verify after clicking on FAQs under Quick Actions we are redirected to FAQ details page

PROCEED button is Not Displayed------------>  To verify after clicking on FAQs under Quick Actions we are redirected to FAQ details page

Settlement Payment Radio Button option has not redirected to Settlement Payment tab------------>  To verify after clicking on FAQs under Quick Actions we are redirected to FAQ details page

Redirected URL is not Matched : https://uat-oneweb.bajajfinserv.in/MyAccountPayments/LoanPay/ActiveLoanPay?id=bc7b81b9-40f2-4428-8e41-b9d0aec89564------------>  To verify after clicking on FAQs under Quick Actions we are redirected to FAQ details page

Expected URL : MyAccountPayments/LoanPay/SettlementPay------------>  To verify after clicking on FAQs under Quick Actions we are redirected to FAQ details page

Failed in min Value Settlement Payment. Exception: class java.lang.NumberFormatException------------>  To verify after clicking on Proceed to Pay CTA we are redirected to Payment Checkout pageÁ

Redirected URL is not Matched : https://uat-oneweb.bajajfinserv.in/MyAccountPayments/LoanPay/SettlementPay?id=4b0bcb2c-c7be-4338-9211-d6032e16091e------------>  To verify after clicking on Proceed to Pay CTA we are redirected to Payment Checkout pageÁ

Expected URL : https://uatpayments.bajajfinserv.in/payments------------>  To verify after clicking on Proceed to Pay CTA we are redirected to Payment Checkout pageÁ

Failed in min Value Settlement Payment. Exception: class java.lang.NumberFormatException------------>  To verify after clicking on Cancel CTA on Payment Checkout page we are redirected to Payment Cancelled pageÕ

Redirected URL is not Matched : https://uat-oneweb.bajajfinserv.in/MyAccountPayments/LoanPay/SettlementPay?id=7bd41656-3562-45a1-8c3d-86a5e610efef------------>  To verify after clicking on Cancel CTA on Payment Checkout page we are redirected to Payment Cancelled pageÕ

Expected URL : https://uatpayments.bajajfinserv.in/payments------------>  To verify after clicking on Cancel CTA on Payment Checkout page we are redirected to Payment Cancelled pageÕ

Redirected URL is not Matched : https://uat-oneweb.bajajfinserv.in/MyAccountPayments/LoanPay/ActiveLoanPay?id=7bd41656-3562-45a1-8c3d-86a5e610efef------------>  To verify after clicking on Cancel CTA on Payment Checkout page we are redirected to Payment Cancelled pageÕ

Expected URL : MyAccountPayments/LoanPay/Receipt------------>  To verify after clicking on Cancel CTA on Payment Checkout page we are redirected to Payment Cancelled pageÕ

Failed in min Value Settlement Payment. Exception: class java.lang.NumberFormatException------------>  To verify after cancelling payment from Payment gateway page we are redirected to Payment Unsuccessful pageí

Redirected URL is not Matched : https://uat-oneweb.bajajfinserv.in/MyAccountPayments/LoanPay/SettlementPay?id=45243ae8-4e04-465c-ba02-6b8393e04c35------------>  To verify after cancelling payment from Payment gateway page we are redirected to Payment Unsuccessful pageí

Expected URL : https://uatpayments.bajajfinserv.in/payments------------>  To verify after cancelling payment from Payment gateway page we are redirected to Payment Unsuccessful pageí

Gateway: Worldlineis not Displayed------------>  To verify after cancelling payment from Payment gateway page we are redirected to Payment Unsuccessful pageí

Select Payment: UPIis not Displayed------------>  To verify after cancelling payment from Payment gateway page we are redirected to Payment Unsuccessful pageí

Failed in scroll To WebElement for Pay Amount Button. Exception: class org.openqa.selenium.NoSuchElementException------------>  To verify after cancelling payment from Payment gateway page we are redirected to Payment Unsuccessful pageí

Pay Amount Button is Not Present------------>  To verify after cancelling payment from Payment gateway page we are redirected to Payment Unsuccessful pageí

